QTY,MAKE,PART NUMBER,PRODUCT NAME,DESCRIPTION,SERIAL,NOTE,SHELF,URL
1,AKG,D5WL1,,Professional dynamic microphone head,,,12,avidexloanerlistfremont.pythonanywhere.com/3/
1,AKG,DHT800,DHT800 Band1 50mW,Reference digital wireless handheld transmitter,,,12,avidexloanerlistfremont.pythonanywhere.com/4/
1,AKG,DHT800BD1,DHT800 Band1 50mW,Reference digital wireless handheld transmitter,,WITH WINDSCREEN,12,avidexloanerlistfremont.pythonanywhere.com/5/
1,AMX,,EXB-REL8,"ICSLan Relay Interface, 8 Channels",,,9,avidexloanerlistfremont.pythonanywhere.com/6/
1,AMX,,FG423-17,Power Supply,,,9,avidexloanerlistfremont.pythonanywhere.com/7/
1,AMX,,HPX-AV101-HDMI-R,Single HDMI Module with Retractable Cable,,,9,avidexloanerlistfremont.pythonanywhere.com/8/
1,AMX,,MVP-8400,Modero ViewPoint Touch Panel ,,,9,avidexloanerlistfremont.pythonanywhere.com/9/
1,AMX,,N1-2000,AMX NetLinx Integrated Controller NI-2000,,,9,avidexloanerlistfremont.pythonanywhere.com/10/
1,AMX,,NI4000,AMX NI-4000 Netlinx Integrated Controller,,NOT IN BOX,14,avidexloanerlistfremont.pythonanywhere.com/11/
1,AMX,,NXC-ME-260/64,NETLINX MASTER ETHERNET CARD,,NOT IN BOX,14,avidexloanerlistfremont.pythonanywhere.com/12/
1,AMX,,NXT-CV7,"7"" Modero® Table Top Touch Panel",,,9,avidexloanerlistfremont.pythonanywhere.com/13/
1,AMX,,NXVA-AVB/ETHERNET,Modero® Ethernet/Video Breakout Box,,,9,avidexloanerlistfremont.pythonanywhere.com/14/
1,ATLONA,,AT-UHD-EX-100-CE-TX/RX,"4K/UHD HDMI Over 100 M HDBaseT tx/rx with Ethernet, Control, and PoE",,,Z1,avidexloanerlistfremont.pythonanywhere.com/15/
1,ATTEROTECH,,AXP20,Axiom expansion module,,,11,avidexloanerlistfremont.pythonanywhere.com/16/
1,ATTEROTECH,,UNA6IO-BT,bluteooth + AES67 IN-WALL I/O INTERFACE ,,,B4,avidexloanerlistfremont.pythonanywhere.com/17/
1,AUDIO TECHNICA,,ES947,Cardioid Condenser Boundary Microphone,,,11,avidexloanerlistfremont.pythonanywhere.com/18/
1,AXS,,DT60L-135-V-AMX17,"AMX PSR4.4, 2-Pin Retained Captive Wire Connector, 13.5V, 4.5A",,,9,avidexloanerlistfremont.pythonanywhere.com/19/
1,BIAMP,,AEC2HD CARD KIT ,"Audia® AEC-2HD Input Card
Dual-Channel Wide-Band Acoustic Echo Cancellation",,,9,avidexloanerlistfremont.pythonanywhere.com/20/
1,Biamp,,AudiaFLEX IP-2 CK,2-channel mic/line input card (Card Kit),,OP-2ECK,9,avidexloanerlistfremont.pythonanywhere.com/21/
1,BIAMP,,NEXIA-TC,TELECONFERENCE DSP,,,15,avidexloanerlistfremont.pythonanywhere.com/22/
1,BLACK MAGIC,,HARD DRIVE RECORDER,HARD DRIVE RECORDER,1900916,,Y2,avidexloanerlistfremont.pythonanywhere.com/23/
1,CHRISTIE,003-100857-02,ASSY LAMP 350W,350W Mercury Lamp,,,B3,avidexloanerlistfremont.pythonanywhere.com/24/
1,Christie,003-100857-02,Christie Projector Lamp,350W Mercury Lamp,,,Y4,avidexloanerlistfremont.pythonanywhere.com/25/
1,CLEARONE,,CONVERGE PRO 880T,Converge Professional Conferencing System ClearOne 910-151-881 880T,,,8,avidexloanerlistfremont.pythonanywhere.com/26/
1,CLEARONE,,CONVERGE PRO 880T,Converge Professional Conferencing System ClearOne 910-151-881 880T,,NOT IN BOX,14,avidexloanerlistfremont.pythonanywhere.com/27/
1,CLEARONE,,CONVERGE PRO 8I,ClearOne 10-151-810 Converge Pro 8i 910-151-810,,NOT IN BOX,14,avidexloanerlistfremont.pythonanywhere.com/28/
1,CLOCKAUDIO,,C007EW-RF,Boundary Layer Condenser microphone.,,,11,avidexloanerlistfremont.pythonanywhere.com/29/
1,CLOCKAUDIO,,CH32W,Litetouch touch sensitive electronic switch.,,,11,avidexloanerlistfremont.pythonanywhere.com/30/
1,CLOCKAUDIO,,SM80S-RF-PTT,Through Table Microphone Shock Mount with PTT Switch.,,,11,avidexloanerlistfremont.pythonanywhere.com/31/
1,COUNTRYMAN,,WCE6IB,LAVALIER MICROPHONE,,IN CASE,13,avidexloanerlistfremont.pythonanywhere.com/32/
1,CRESTRON,,6511147,UC Engine Assembly with UC-ENGINE-SD-Z & HD-CONV-USB-200 (Not sold separately),,NOT IN BOX,B4,avidexloanerlistfremont.pythonanywhere.com/33/
1,CRESTRON,,?,digital graphics engine,,,A7,avidexloanerlistfremont.pythonanywhere.com/34/
1,CRESTRON,,AM-100,Crestron AirMedia AM-100 Presentation Gateway,,,A2,avidexloanerlistfremont.pythonanywhere.com/35/
1,CRESTRON,,AM-200,CRESTRON AIRMEDIA PRESENTATION SYSTEM AM-200,,,A2,avidexloanerlistfremont.pythonanywhere.com/36/
1,CRESTRON,,C2ENET-1,Single Port Ethernet Card for Z-Bus Expansion Slot,,,A2,avidexloanerlistfremont.pythonanywhere.com/37/
